ticker,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,fax,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,symbol,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,address2,state
BAKKA,625,Consumer Defensive,1663,"P/F Bakkafrost, together with its subsidiaries, produces and sells salmon products under the Bakkafrost and HavsbrÃºn brands in the United States, Europe, China, and internationally. The company operates through four segments: Fish Farming FO; Fish Farming SCT; Value Added Products; and Fishmeal, Fish Oil, and Fish Feed. It is involved in the breeding and on-growing of salmon; harvesting, sale, and distribution of salmon; and production of skinless and boneless portions of salmon. The company also produces and sells fishmeal, fish oil, and fish feed. The company also exports its products. P/F Bakkafrost was founded in 1968 and is headquartered in Glyvrar, Denmark.",Glyvrar,45 298 40 50 00,Denmark,[],http://www.bakkafrost.com,1,Bakkavegur 9,45 298 40 50 09,Farm Products,543,547,568.8855,0.0030220996,0.9337,,554,,120393,,543,560.19116,1.641,547,120393,,,,,1586131200,0.186411,,,544,2,NOK,181.09978,56696,,,,32512479232,,,131553,,544,550,,18300,56696,720,17.55506,,,452.4,549.5,False,,11100,554,OSL,P/F BAKKAFROST,P/F Bakkafrost,Europe/Oslo,CEST,False,7200000,,EQUITY,BAKKA.OL,,,finmb_60013463,f2459543-97f3-3653-9f04-20f5eed60b2b,no_market,,,,0.14679,,0.0060790777,,31.33,,59113600,,,13.119,,,,1577750400,0.53531,,3.037,,,41.923927,0.15884,1640908800,1593475200,,,49692124,32099481600,,,,,,1.501,,,,,,,,https://logo.clearbit.com/bakkafrost.com,PO Box 221,
ATEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSP-ME,0459,Consumer Cyclical,,"Black Sea Property AS focuses on operating holiday resort under the Aheloy Beach Resort name in Bulgaria. The company was founded in 2015 and is based in Oslo, Norway.",Oslo,,Norway,[],http://www.blackseaproperty.no,1,Sagveien 23 A,,Lodging,2.9,2.9,3.124058,,0,,2.9,,134,,2.9,2.6417646,,2.9,134,,,,,,-6.350393,,,2.9,4,NOK,,109,,,,48264992,,,648,,2.9,2.9,,,109,7.32889,,,,1.5,2.14,False,,,2.9,OSL,BLACK SEA.PROPERTY,Black Sea Property AS,Europe/Oslo,CEST,False,7200000,,EQUITY,BSP-ME.OL,,,finmb_321493830,7e34d6e4-b6be-3043-b074-e50e95ff034e,no_market,,,,0,-38.143,-0.13666576,,,,16643100,,,6.561,,,,1577750400,,-6767000,-0.737,,,0.4420058,,1640908800,1577750400,,,6894127,137582560,,1564531200,1:25,,,,,,,,,,,https://logo.clearbit.com/blackseaproperty.no,,
BGBIO,5009,Healthcare,36,"BerGenBio ASA, a clinical-stage biopharmaceutical company, develops medicines to treat immune evasive, drug resistant, and metastatic cancers. Its lead candidate is Bemcentinib, a bioavailable small molecule AXL inhibitor, which is in Phase II clinical development in two major cancer indications. The Phase II clinical trial program focuses on lung cancer, acute myeloid leukaemia, and myelodysplastic syndrome, as well as melanoma and triple negative breast cancer. In addition, it is developing tilvestamab, a function blocking antibody that is in Phase I clinical trial; and BGB601, a Phase I clinical trial antibody drug conjugate against human AXL that is linked to a cytotoxin. BerGenBio ASA has a collaboration agreement with Merck & Co. for clinical trials. The company was founded in 2007 and is headquartered in Bergen, Norway.",Bergen,47 55 96 11 59,Norway,[],http://www.bergenbio.com,1,Jonas Lies vei 91,,Biotechnology,33.1,33.1,29.061857,,0,,33.4,,425144,,33.1,35.98382,,33.1,425144,,,,,,2.063439,,,32.65,2,NOK,,109285,,,,2892669184,,,643767,13269.125,32.65,33.15,,0,109285,54,-8.610391,,,11.4,33.1,False,,0,33.4,OSL,BERGENBIO ASA,BerGenBio ASA,Europe/Oslo,CEST,False,7200000,,EQUITY,BGBIO.OL,,,finmb_107144331,989fa80a-9d06-321d-ae5a-1205157116e2,no_market,,9706.216,,0,-9.306,1.0390561,,-3.85,,87260000,,,9.085,,,,1577750400,0.18125,-218016992,-3.264,,,3.648872,0.45501998,1640908800,1593475200,,,52011200,2115955072,,,,,,,,,,,,,,https://logo.clearbit.com/bergenbio.com,,
BDRILL,HM11,Energy,694,"Borr Drilling Limited operates as an offshore drilling contractor to the oil and gas industry worldwide. It owns, contracts, and operates jack-up rigs for operations in shallow-water areas, including the provision of related equipment and work crews to conduct oil and gas drilling and workover operations for exploration and production. The company serves oil and gas exploration and production companies, such as integrated oil companies, state-owned national oil companies, and independent oil and gas companies. As of December 31, 2019, it operated a fleet of 27 jack-up drilling rigs and one semi-submersible rig. The company was formerly known as Magni Drilling Limited and changed its name to Borr Drilling Limited in December 2016.Borr Drilling Limited was founded in 2016 and is based in Hamilton, Bermuda.",Hamilton,441 737 0152,Bermuda,[],http://www.borrdrilling.com,1,S.E. Pearman Building,,Oil & Gas Drilling,8.66,8.59,11.4005,,0,,8.66,,551290,,8.66,8.912794,,8.59,551290,,,,,,3.808982,,,8.45,2,NOK,,48635,,,,1326413312,,,3584530,3.4336352,8.45,8.5,,0,48635,80,-60.35714,,,2.5995,8.455,False,,0,8.66,OSL,BORR DRILLING LTD,Borr Drilling Limited,Europe/Oslo,CEST,False,7200000,,EQUITY,BDRILL.OL,,,finmb_412495516,2d07674e-6ee8-3ffd-b9d2-57c0fb08d5a4,no_market,,7.133,,-0.87678003,215.257,-0.8114933,,-0.14,,156972000,,,10.885,,,,1577750400,0.5864,-338700000,-3.117,,,0.7762976,0.26895002,1640908800,1585612800,,,72422009,2755287040,,1561507200,1:5,,,,,,,,,,,https://logo.clearbit.com/borrdrilling.com,2nd Floor 9 Par-la-Ville Road,
DNB,0191,Financial Services,9020,"DNB ASA provides various banking products and services for retail and corporate customers in Norway and internationally. The company offers savings and investment products, including saving accounts, home savings products, equities, retirement savings, fixed rate deposits, exchange traded products, bonds and commercial papers, and asset management services; and loans, such as home mortgages, car and consumer loans, trade finance, and export financing, as well as overdraft facilities, bank guarantees, and leasing and factoring services. It also provides various cards; a range of insurance products comprising car, boat, motor vehicle, household contents, home, holiday home, travel, and life insurance products, as well as pet insurance for cats and dogs; and pension plans. In addition, the company offers investment banking advisory and financing services, such as mergers and acquisitions, and equity and debt capital markets for corporations and private equity firms; and foreign exchange and treasury, cash management, research, commodities, equities, corporate finance, interest rates, securities, real estate broking, and internet and mobile banking services. It offers its products and services to various sectors, including energy; financial institutions; healthcare; manufacturing; packaging and forest products; seafood; shipping, offshore, and logistics; and telecom, media, and technology. The company distributes its products and services through its branches, in-store postal and banking outlets, and post office counters. DNB ASA was founded in 1822 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.dnb.no,1,Dronning Eufemias gate 30,,Banks—Regional,143.05,143,132.9066,0.062915064,0,,143.25,,1174786,,143.05,142.36324,9,143,1174786,,,,,1588118400,0.975609,,,141.85,2,NOK,11.296489,161695,,,,219920007168,,,2482926,4.503051,141.85,141.85,,246400,161695,178.1,9.53293,,,94.26,141.8,False,,327700,143.25,OSL,DNB ASA,DNB ASA,Europe/Oslo,CEST,True,7200000,,EQUITY,DNB.OL,,,finmb_9778651,883be55c-97e3-31dd-8ccc-c2d12b481b9d,no_market,,19.885,,0.43046,,0.0028041601,,14.88,,1550370048,,,154.097,,,,1577750400,0.37327,19740000256,12.557,,,0.9205241,0.42226002,1640908800,1593475200,,,889201447,971144560640,,,,,,-0.182,,,,,,,,https://logo.clearbit.com/dnb.no,BjÃ¸rvika,
BWE,0277,Energy,100,"BW Energy Limited engages in the acquisition, exploration, development, and production of oil and natural gas in Africa. It primarily holds interests in three hydrocarbon licenses in Gabon, Brazil, and Namibia. The company was founded in 2016 and is based in Oslo, Norway.",Oslo,47 23 13 00 00,Norway,[],http://www.bwenergy.no,1,Drammensveien 151,47 23 13 00 01,Oil & Gas E&P,19.9,20.14,15.213496,,0,,20.98,,117204,,19.9,17.664764,,20.14,117204,,,,,,,,,19.4,2,NOK,66.34305,313815,,,,4803231744,,,378564,17.008612,19.4,20.52,,,313815,25,,,,7.62,20.5,False,,,20.98,OSL,BW ENERGY LIMITED,BW Energy Limited,Europe/Oslo,CEST,False,7200000,,EQUITY,BWE.OL,,,finmb_144579252,4b170b79-10d9-3d68-a2ba-1e005434050c,no_market,,12.251,,0.20538001,21.463,Infinity,,,,234304000,,,1.938,,,,1577750400,0.100880004,58000000,0.309,,,10.577915,0.7214,1640908800,1585612800,,,56150662,3459760128,,,,,,,,,,,,,,https://logo.clearbit.com/bwenergy.no,,
BOR,3712,Industrials,,"Borgestad ASA develops, manufactures, distributes, and installs refractory products in Norway. The company also develops and manages real estate properties. Its properties include Agora Bytom, a shopping center with a gross area of 52,000 square meters and a rental area of approximately 30,000 square meters, as well as a parking garage with 820 parking spaces in Poland; and Borgestad Business Park, a rented commercial premises used for the storage, production, and offices. Borgestad ASA was founded in 1904 and is headquartered in Skien, Norway.",Skien,47 35 54 24 00,Norway,[],http://borgestad.no,1,Gunnar Knudsensveg 144,,Building Products & Equipment,15.75,16,13.473406,,0,,16,,13014,,15.75,16.133823,,16,13014,,,,,1307664000,1.431475,,,15.6,2,NOK,,2500,,,,198382080,,,23950,0.21502805,15.6,15.95,,75000,2500,32,-3.6879432,,,9.1,15.5,False,,75000,16,OSL,BORGESTAD ASA,Borgestad ASA,Europe/Oslo,CEST,False,7200000,,EQUITY,BOR.OL,,,finmb_878193,199e14a3-c3a9-30ba-a8f8-dda4ca3c0dd9,no_market,,1.292,,-0.06982,22.71,-0.17968756,,-4.23,,12716800,,,39.859,,,,1577750400,0,-64412000,-7.859,,,0.39137962,0.88801,1640908800,1585612800,,,3296749,1192306048,,,,,,,,,,,,,,https://logo.clearbit.com/borgestad.no,,
DNO,0250,Energy,1318,"DNO ASA engages in the exploration, development, and production of oil and gas assets in the Middle East and the North Sea. Its flagship project is the Tawke field that is located in the Kurdistan region of Iraq. As of December 31, 2019, its proven reserves consisted of 205.6 million barrels of oil equivalent (MMboe); proven and probable reserves included 344.8 MMboe; and proven, probable, and possible reserves consisted of 539.9 MMboe. The company was founded in 1971 and is headquartered in Oslo, Norway.",Oslo,47 23 23 84 80,Norway,[],http://www.dno.no,1,Dokkveien 1,47 23 23 84 81,Oil & Gas E&P,5.502,5.51,5.4096045,0.007997092,,,5.55,,4260790,,5.502,5.8587646,0.044,5.51,4260790,,,,0.4,1571961600,1.96806,,,5.41,2,NOK,,1391904,,,,5357078016,,,7519059,6.873336,5.41,5.486,,728400,1391904,14.755,16.642424,,,2.5,5.486,False,0.0717,162000,5.55,OSL,DNO ASA,DNO ASA,Europe/Oslo,CEST,False,7200000,,EQUITY,DNO.OL,,,finmb_878127,243e677a-d689-3b3b-b6cb-8fa169d06e42,no_market,,7.702,,-0.19066,18.847,-0.53054607,,0.33,,975433024,,,0.988,,,,1577750400,0.14917,-148600000,-0.15,,,5.558705,0.40448,1640908800,1593475200,,,536593797,6002816000,,1150416000,4:1,,,,,,,,,,,https://logo.clearbit.com/dno.no,Aker Brygge,
BOUVET,0369,Technology,1594,"Bouvet ASA provides information technology, digital communication, and enterprise management services in Norway, Sweden, and internationally. The company designs, develops, and provides advisory services on IT solutions and digital communication. Bouvet ASA was founded in 2002 and is based in Oslo, Norway.",Oslo,47 23 40 60 00,Norway,[],http://www.bouvet.no,1,SÃ¸rkedalsveien 8,,Information Technology Services,594,594,456.5435,0.013888889,0.7019,,594,,5564,,594,541.4706,8.25,594,5564,,,,8.25,1590105600,0.741579,,,584,2,NOK,28.982658,704,,,,6047087104,,,7009,2.6444602,584,590,,166400,704,608,42.63006,,4.1,290,588,False,0.0139,27300,594,OSL,BOUVET ASA,Bouvet ASA,Europe/Oslo,CEST,False,7200000,,EQUITY,BOUVET.OL,,,finmb_34102981,6684d2e8-e97c-338c-9042-4f81b712e546,no_market,,2.576,,0.09205,20.218,0.98,,13.84,,10249300,,,36.035,,,,1577750400,0.31916,210491008,20.357,,,16.37297,0.29916,1640908800,1593475200,,,7590394,5890660352,,,,,,0.412,,,,,,,,https://logo.clearbit.com/bouvet.no,,
CLOUD-ME,0273,Utilities,,"Cloudberry Clean Energy AS operates as a renewable energy company. The company owns, develops, and operates hydropower plants and wind farms in Norway and Sweden. Cloudberry Clean Energy AS was founded in 2017 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.cloudberry.no,1,FrOeyas Gate 15,,Utilities—Renewable,12.288,12.21,12.78172,,0,,12.524,,79786,,12.288,12.125176,,12.21,79786,,,,,,,,,12.21,2,NOK,,4179,,,,690553280,,,91831,2471.39,12.21,12.66,,,4179,19,,,,10.54,12.52,False,,,12.524,OSL,CLOUDBERRY CLEAN,Cloudberry Clean Energy AS,Europe/Oslo,CEST,False,7200000,,EQUITY,CLOUD-ME.OL,,,finmb_657338383,9604df37-1d5e-37ff-8651-da82af3d2815,no_market,,1693.908,,0,-181.599,Infinity,,,,55147200,,,1.271,,,,1577750400,,-2609160,-0.687,,,9.852085,,1640908800,,,,14542165,473310112,,,,,,,,,,,,,,https://logo.clearbit.com/cloudberry.no,,
DOF,5392,Energy,3134,"DOF ASA, together with its subsidiaries, owns and operates a fleet of offshore vessels worldwide. The company operates through three segments: Platform Supply Vessel (PSV), Anchor Handling Tug Supply Vessel (AHTS), and Subsea Vessel and Subsea Engineering. It operates a fleet of PSVs that are used to transport oilfield products and supplies to offshore drilling and production facilities; AHTS used to set anchors for drilling rigs, and tow mobile drilling rigs and equipment from one location to another; and subsea vessels used for a range of subsea services. The company also provides subsea services comprising project management, engineering, construction and installation, life-of-field, decommissioning/field abandonment, and survey and positioning, as well as inspection, repair, and maintenance services. In addition, it offers marine management services, such as crewing, chartering, mobilization, maintenance, refurbishment, projects and new building, and compliance services. As of December 31, 2019, the company operated a fleet of 67 vessels, including 16 PSVs, 20 AHTSs, and 31 subsea/construction vessels, as well as 72 remote operated vehicles and 2 autonomous underwater vehicles. It operates in Brazil, the United Kingdom, Australia, Norway, Canada, the United States, Guyana, the Philippines, Angola, Argentina, and internationally. The company was founded in 1981 and is headquartered in StorebÃ¸, Norway.",StorebÃ¸,47 56 18 10 00,Norway,[],http://www.dof.no,1,Alfabygget,47 56 18 10 06,Oil & Gas Equipment & Services,0.563,0.62,0.78678983,,0,,0.649,,878891,,0.563,0.59132355,,0.62,878891,,,,,1242432000,1.937862,,,0.595,4,NOK,,3088701,,,,189274256,,,833222,0.028949872,0.595,0.62,,4700000,3088701,2.8,0.7235294,,,0.5,0.615,False,,1357000,0.649,OSL,DOF ASA,DOF ASA,Europe/Oslo,CEST,False,7200000,,EQUITY,DOF.OL,,,finmb_884333,60e54c5d-692f-36de-8295-bfbb318e1775,no_market,,2.826,,-1.0703601,9.436,-0.78429115,,0.85,,307763008,,,-2.801,,,,1577750400,0.04079,-6998000128,-22.151,,,,0.57965,1640908800,1593475200,,,108581786,18476269568,,1527206400,1:10,,,,,,,,,,,https://logo.clearbit.com/dof.no,,
COV,111 22,Healthcare,47,"ContextVision AB (publ), a medical technology software company, provides image analysis and artificial intelligence software solutions to original equipment manufacturers worldwide. It operates through two segments, Medical Imaging and Digital Pathology. The company offers image enhancement software for 2D/3D/4D ultrasound, radiography, magnetic resonance imaging (MRI), and mammography. Its products include US PLUSView, an image enhancement software product for women's health, general imaging, cardiovascular, and point of care applications; VolarView, an image enhancement software for the handheld ultrasound market segment; GOPiCE, a technology for volumetric image enhancement in real-time; and REALiCE, a volumetric image enhancement and rendering solution for visualization. The company also provides Altumira/Altumira Plus, a solution for various digital radiography systems; GOPView XR2Plus for x-ray systems for human and veterinary examinations; and Orthopedic Package for orthopedic imaging. In addition, it offers GOPView MRI2Plus, an image enhancement solution for MRI; GOPView Mammo3, an image enhancement software for screening and diagnostic mammography; and INIFY Prostate, an AI-based software that outlines and quantifies suspected cancerous areas in a series of prostate biopsies. ContextVision AB (publ) was founded in 1983 and is headquartered in Stockholm, Sweden.",Stockholm,46 87 50 35 50,Sweden,[],http://www.contextvision.com,1,Klara Norra Kyrkogata 31,,Health Information Services,22.385,22.4,137.61316,,0,,22.59,,165629,,22.385,159.97691,,22.4,165629,,,,,1212969600,1.293263,,,22.005,2,NOK,,20436,,,,1724908544,,,57515,,22.005,22.28,,140000,20436,309,85.75,,,22.005,22.25,False,,140000,22.59,OSL,CONTEXTVISION AB,ContextVision AB (publ),Europe/Oslo,CEST,False,7200000,,EQUITY,COV.OL,,,finmb_786673,f4ff7717-42b5-38de-8310-6e69eca13d22,no_market,,,,0.10281,,-0.7201875,,0.26,,77367504,,,0.808,,,,1577750400,0.08879,,-0.033,,,27.592821,0.7414,1640908800,1593475200,,,20432757,1731871488,,,,,,-0.7,,,,,,,,https://logo.clearbit.com/contextvision.com,,
BMA,4701,Industrials,,"Byggma ASA manufactures and supplies building materials to builders and retailers in the Nordic countries. It offers pre-painted ceilings and wall panels under the Huntonit brand name; I-beams for use in ceilings, walls, and floors in wood-based buildings under the brand name of Masonite; and particle boards, boards, and structural panels for use in buildings, pre painted ceilings, and wall panels under the Forestia brand name. The company also provides home lighting products under the Scan Lamps brand name; doors and windows for new buildings, extensions, or rehabilitation under the brand name of Uldal; a range of lamp and lighting products under the Aneta brand name; and develops, manufactures and distributes MDF panels for walls, ceilings, bathrooms, and kitchens under the brand name of Smartpanel. The company is headquartered in Vennesla, Norway.",Vennesla,47 38 13 71 00,Norway,[],http://www.byggma.no,1,Venneslaveien 233,,Building Products & Equipment,103,103,92.409424,0.009708738,0.1558,,103,,572,,103,104.411766,1,103,572,,,,1,1590624000,0.595818,,,103,2,NOK,16.144201,520,,,,719138816,,,1533,0.38735515,103,103,,170100,520,109,,,3.01,66,100,False,0.0097,38900,103,OSL,BYGGMA ASA,Byggma ASA,Europe/Oslo,CEST,False,7200000,,EQUITY,BMA.OL,,,finmb_9391774,2294a3d8-72e4-31d7-93ac-95e25596e02b,no_market,,0.535,,0.024,6.311,0.11956525,,,,6981930,,,127.596,,,,1577750400,0.0602,44549000,6.38,,,0.80723536,0.94914,1640908800,1585612800,,,325966,993348992,,,,,,-0.177,,,,,,,,https://logo.clearbit.com/byggma.no,Postboks 21,
BWO,HM11,Energy,2126,"BW Offshore Limited builds, owns, and operates oil and gas floating production, storage, and offloading vessels (FPSOs); and floating, storage, and offloading vessels (FSOs) to the oil and gas industries in the Asia Pacific, the Americas, the European Union, and West Africa. It also offers engineering, procurement, construction, and installation services; and lease and operation services of FPSO units. As of March 8, 2016, the company had a fleet of 14 FPSOs and 1 FSO. It also operates additional two operations and maintenance contracts FPSOs and one new project FPSO. The company was founded in 1982 and is based in Hamilton, Bermuda.",Hamilton,,Bermuda,[],http://www.bwoffshore.com,1,Clarendon House,,Oil & Gas Equipment & Services,35.2,35.2,30.867714,,0,,35.24,,449892,,35.2,33.138824,,35.2,449892,,,,0.32,1591056000,2.865272,,,32.76,2,NOK,,646142,,,,7494204416,,,698991,6.3499446,32.76,33.08,,,646142,69.212,,,,12.91,32.98,False,0.0091,,35.24,OSL,BW OFFSHORE LTD,BW Offshore Limited,Europe/Oslo,CEST,False,7200000,,EQUITY,BWO.OL,,,finmb_26954576,078e83da-4758-312b-aaee-d482fed31d9c,no_market,,6.57,,-0.18548,11.51,-0.17250258,,,,227648992,,,4.217,,,,1577750400,0.2165,-233200000,-1.184,,,7.806497,0.50139,1640908800,1585612800,,,106798650,7754100224,,,,,,,,,,,,,,https://logo.clearbit.com/bwoffshore.com,2 Church Street,
CRAYON,0484,Technology,1500,"Crayon Group Holding ASA, together with its subsidiaries, operates as an IT advisory company in software and digital transformation services. It operates through Software & Cloud Direct, Software & Cloud Channel, Software & Cloud Economics, and Consulting segments. The company offers license management and consultancy services; SAM as a Service, a single hosted managed service that enables its clients to control software and technology assets across their IT environment; and SAM-iQ, which provides a centralized program interface that allows its customers to analyze, review, and manage their SAM environment. It also provides software and cloud economic services, including license management and solutions across large and mid-market enterprises, public sector, and cloud and service provider markets, as well as deployment planning services. In addition, the company offers consulting services in the areas of cloud architecture and deployment solutions, licensing environment optimization and management, security, datacenter systems, infrastructure and networking, backup and data recovery, servers environments, and storage and virtualization solutions; and managed services, such as outsourced license lifecycle management, project management, audit simulation and support, and infrastructure management and support services. Further, it provides training, events, and development programs for IT professionals. The company has operations in the Nordics, Europe, the Asia-Pacific, the Middle East and Africa, and the United States. The company has a strategic collaboration agreement with Amazon Web Services. Crayon Group Holding ASA is headquartered in Oslo, Norway.",Oslo,47 22 89 10 00,Norway,[],http://www.crayon.com/nb-NO,1,Sandakerveien 114A,,Information Technology Services,98.9,98.5,61.484783,,0,,99.3,,249718,,98.9,79.44118,,98.5,249718,,,,,,1.349002,,,97.5,2,NOK,,26404,,,,7970442240,,,227303,0.5249709,97.5,98.7,,0,26404,104.8,91.775696,,,29.8,98.3,False,,0,99.3,OSL,CRAYON GROUP HLD,Crayon Group Holding ASA,Europe/Oslo,CEST,False,7200000,,EQUITY,CRAYON.OL,,,finmb_46100086,087692b1-3212-3bab-851e-b2b9db3a8670,no_market,,0.51,,-0.00343,44.642,2.110063,,1.07,,81165400,,,8.798,,,,1577750400,0.21603,-52075000,-0.691,,,11.161627,0.60696,1640908800,1585612800,,,34221159,7746646016,,,,,,,,,,,,,,https://logo.clearbit.com/crayon.com,,
BRA-ME,5014,Financial Services,51,"BRAbank ASA operates as a digital bank in Norway. It offers consumer finance, unsecured financing to private individuals, saving accounts, and credit cards, as well as payment insurance loans and payment solutions. The company was formerly known as Monobank ASA and changed its name to BRAbank ASA in June 2019. BRAbank ASA was founded in 2015 and is headquartered in Bergen, Norway.",Bergen,47 55 96 10 00,Norway,[],http://www.brabank.no,1,Starvhusgaten 4,,Banks—Regional,0.51,0.54,0.39550725,,0,,0.54,,855886,,0.51,0.41764706,,0.54,855886,,,,,,1.176394,,,0.52,4,NOK,,169750,,,,334866656,,,994407,7.380144,0.52,0.53,,,169750,2.26,,,,0.262,0.52,False,,,0.54,OSL,BRABANK ASA (NEW),BRAbank ASA,Europe/Oslo,CEST,False,7200000,,EQUITY,BRA-ME.OL,,,finmb_316669435,ba8db645-102c-3a45-baf8-1adb4a839b54,no_market,,7.013,,-2.80288,,-0.6357143,,,,625918976,,,1.287,,,,1577750400,,-127178000,-0.203,,,0.41569546,,1640908800,1585612800,,,320670596,318213472,,1583884800,0:1,,,,,,,,,,,https://logo.clearbit.com/brabank.no,,
EAM,0287,Utilities,,"EAM Solar ASA acquires, owns, and operates solar power plants in Europe. The company sells electricity under long-term fixed price sales contracts. It owns and operates four power plants with a combined installed capacity of 4.0 MW in Italy. The company was founded in 2011 and is based in Oslo, Norway.",Oslo,47 91 61 10 09,Norway,[],http://www.eamsolar.no,1,Dronningen 1,,Utilities—Renewable,12.25,13.1,12.157899,,0,,13.1,,22048,,12.25,12.84853,,13.1,22048,,,,,1399852800,0.667828,,,12.35,2,NOK,,3400,,,,85652624,,,12195,,12.35,12.45,,,3400,22,,,,6.66,12.35,False,,,13.1,OSL,EAM SOLAR ASA,EAM Solar ASA,Europe/Oslo,CEST,False,7200000,,EQUITY,EAM.OL,,,finmb_142079547,446c629f-ecdf-3f62-b0c6-8eafddead8bc,no_market,,,,0.88075995,,-0.33242506,,,,6852210,,,,,,,1577750400,0.28467,,,,,,0.42780998,1640908800,1593475200,,,3730069,88050896,,,,,,,,,,,,,,https://logo.clearbit.com/eamsolar.no,,
BON,0152,Industrials,3935,"Bonheur ASA, together with its subsidiaries, engages in the renewable energy, shipping/offshore wind, and cruise businesses primarily in Norway and internationally. The company's Renewable Energy segment develops, constructs, and operates wind farms with an installed capacity of 679 MW. Its Shipping/Offshore Wind segment owns and operates three self-propelled jack-up vessels for the transportation, installation, and service of offshore wind turbines. The company's Cruise segment owns and operates four cruise ships with an overall berth capacity of approximately 3,700 passengers, as well as operates river cruise vessel. Its Other Investments segment offers publications; PR software services; and software as a service-based Web and social monitoring solutions for small and medium businesses to leverage and understand online data. Bonheur ASA was incorporated in 1897 and is headquartered in Oslo, Norway.",Oslo,47 22 34 10 00,Norway,[],http://www.bonheur.no,1,Fred. Olsens gate 2,,Conglomerates,236.5,237,199.84276,0.01818182,,,237,,22657,,236.5,225.04411,4.3,237,22657,,,,4.3,1590624000,0.867595,,,236,2,NOK,,1225,,,,10037528576,,,40839,1.3647648,236,236,,50900,1225,246,,,2.71,134,235.5,False,0.0182,100000,237,OSL,BONHEUR ASA,Bonheur ASA,Europe/Oslo,CEST,False,7200000,,EQUITY,BON.OL,,,finmb_878177,bc45bb93-ec14-37f5-9ceb-a1abee318758,no_market,,1.99,,-0.0892,17.734,0.24473679,,,,42531900,,,142.862,,,,1577750400,0.23837,-656028032,-15.424,,,1.6519438,0.53275,1640908800,1593475200,,,19534048,14633393152,,1149120000,4:1,,,,,,,,,,,https://logo.clearbit.com/bonheur.no,,
